chapter,alt,no.
Psalm 27:1,1,1
Psalm 37:39,1,3
Psalm 138:3,1,5
Matthew 19:26,1,7
2 Corinthians 4:16,1,9
Philippians 4:13,1,11
2 Timothy 1:7,1,13
Psalm 8:2,1,15
Psalm 18:1-2,1,17
Psalm 18:32,1,19
Psalm 19:14,1,21
Psalm 22:19,1,23
Psalm 28:7-8,1,25
Psalm 29:11,1,27
Psalm 46:1,1,29
Psalm 54:1,1,31
Psalm 65:6,1,33
Psalm 71:16,1,35
Psalm 73:26,1,37
Psalm 118:14,1,39
Exodus 15:2,1,41
2 Samuel 22:3,1,43
1 Chronicles 16:11,1,45
1 Chronicles 29:12,1,47
Nehemiah 8:10,1,49
Isaiah 12:2,1,51
Isaiah 25:4,1,53
"Isaiah 40:29, 31",1,55
Isaiah 41:10,1,57
Jeremiah 32:17,1,59
Habakkuk 3:19,1,61
Zechariah 4:6,1,63
Acts 1:8,1,65
Ephesians 3:16,1,67
Ephesians 3:20-21,1,69
Ephesians 6:10,1,71
2 Thessalonians 3:3,1,73
